,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_max_iter,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,mean_train_score,std_train_score
0,0.0013540585835774739,0.0002158502181635791,0.00044149822658962675,3.8734158338611305e-05,0.01,linear,100000,,"{'C': 0.01, 'kernel': 'linear', 'max_iter': 100000}",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,22,0.6,0.6,0.60625,0.6125,0.6,0.6,0.6,0.6,0.6,0.6020833333333333,0.004166666666666682
1,0.002032200495402018,0.0004434408961417379,0.00041794776916503906,5.7206218324950174e-05,1.0,linear,100000,,"{'C': 1.0, 'kernel': 'linear', 'max_iter': 100000}",0.75,0.55,0.5,0.65,0.65,0.7,0.65,0.7,0.65,0.6444444444444445,0.07243558228002941,2,0.66875,0.7,0.68125,0.68125,0.6625,0.66875,0.68125,0.6625,0.66875,0.675,0.011410886614690967
2,0.09688867463005914,0.028406148672837778,0.0005774233076307508,9.050981440135274e-05,100.0,linear,100000,,"{'C': 100.0, 'kernel': 'linear', 'max_iter': 100000}",0.7,0.55,0.55,0.75,0.6,0.75,0.55,0.75,0.65,0.65,0.08498365855987973,1,0.65,0.7,0.6875,0.66875,0.66875,0.6875,0.68125,0.65625,0.69375,0.6770833333333333,0.01613743060919756
3,0.26541487375895184,0.10517928246306364,0.0005962053934733073,4.8471929810768463e-05,10000.0,linear,100000,,"{'C': 10000.0, 'kernel': 'linear', 'max_iter': 100000}",0.5,0.45,0.55,0.6,0.25,0.4,0.55,0.6,0.45,0.4833333333333333,0.10540925533894598,56,0.45625,0.475,0.64375,0.66875,0.46875,0.44375,0.41875,0.5375,0.4,0.5013888888888889,0.09056045487769107
4,0.2165404955546061,0.09825024686754408,0.0013957818349202473,0.0017808314258074478,1000000.0,linear,100000,,"{'C': 1000000.0, 'kernel': 'linear', 'max_iter': 100000}",0.6,0.75,0.55,0.5,0.55,0.75,0.65,0.65,0.5,0.6111111111111112,0.09060836905722272,16,0.49375,0.63125,0.65,0.45,0.575,0.6625,0.6125,0.61875,0.625,0.5909722222222222,0.0684723630830194
5,0.22108647558424208,0.08885773559617033,0.0005697409311930338,4.685435659591303e-05,100000000.0,linear,100000,,"{'C': 100000000.0, 'kernel': 'linear', 'max_iter': 100000}",0.6,0.75,0.55,0.5,0.55,0.75,0.65,0.65,0.5,0.6111111111111112,0.09060836905722272,16,0.49375,0.63125,0.65,0.45,0.575,0.6625,0.6125,0.61875,0.625,0.5909722222222222,0.0684723630830194
6,0.15063503053453234,0.013145941071309045,0.0006354384952121311,0.00013080121090922294,10000000000.0,linear,100000,,"{'C': 10000000000.0, 'kernel': 'linear', 'max_iter': 100000}",0.6,0.75,0.55,0.5,0.55,0.75,0.65,0.65,0.5,0.6111111111111112,0.09060836905722272,16,0.49375,0.63125,0.65,0.45,0.575,0.6625,0.6125,0.61875,0.625,0.5909722222222222,0.0684723630830194
7,0.0015237596299913195,0.0002574505214292213,0.0005659527248806424,0.00017553256636131323,0.01,rbf,100000,1e-09,"{'C': 0.01, 'gamma': 1e-09, 'kernel': 'rbf', 'max_iter': 100000}",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,22,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0
8,0.0016963481903076172,0.0005088921438315967,0.0005310376485188802,0.00012762490098060667,0.01,rbf,100000,1e-07,"{'C': 0.01, 'gamma': 1e-07, 'kernel': 'rbf', 'max_iter': 100000}",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,22,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0
9,0.0015643702612982856,0.0005110796741548075,0.0004989571041531033,6.331985100043017e-05,0.01,rbf,100000,1e-05,"{'C': 0.01, 'gamma': 1e-05, 'kernel': 'rbf', 'max_iter': 100000}",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,22,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0
