segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
60|None|s01|VALENCE|0|0|0.6998571466516565|0.6917587677637737|0.4791666666666667|0.525|(0, 9)||
60|None|s01|VALENCE|0|1|0.6926152463312503|0.6913560708363851|0.5208333333333334|0.525|(0, 0)||
60|None|s01|VALENCE|0|2|0.6903655838083338|0.6917101621627808|0.5300925925925926|0.525|(0, 0)||
60|None|s01|VALENCE|0|3|0.6857238720964502|0.6912191867828369|0.5393518518518519|0.525|(0, 0)||
60|None|s01|VALENCE|0|4|0.6822070633923566|0.6907434384028117|0.5925925925925926|0.525|(0, 0)||
60|None|s01|VALENCE|0|5|0.6696903661445335|0.6893870155016582|0.5648148148148148|0.525|(0, 0)||
60|None|s01|VALENCE|0|6|0.6434839191260161|0.6873466889063518|0.6458333333333334|0.5458333333333333|(0, 0)||
60|None|s01|VALENCE|0|7|0.5412647437166285|0.6821047186851501|0.7731481481481481|0.5791666666666667|(0, 0)|0.6821047345797221|0.5791666666666667
60|None|s01|VALENCE|1|0|0.6950836976369222|0.6921382308006286|0.5138888888888888|0.525|(0, 0)||
60|None|s01|VALENCE|1|1|0.692087036591989|0.6927799383799235|0.5324074074074074|0.5208333333333334|(0, 0)||
60|None|s01|VALENCE|1|2|0.6890669310534442|0.6925104260444641|0.5277777777777778|0.5333333333333333|(0, 0)||
60|None|s01|VALENCE|1|3|0.6899595437226472|0.6909359057744344|0.5578703703703703|0.525|(0, 0)||
60|None|s01|VALENCE|1|4|0.677634961075253|0.6919934272766113|0.5879629629629629|0.5166666666666667|(0, 0)||
60|None|s01|VALENCE|1|5|0.6669843837066933|0.6918703595797221|0.6319444444444444|0.5375|(0, 0)||
60|None|s01|VALENCE|1|6|0.6450489472459864|0.6867660800615947|0.6759259259259259|0.55|(0, 0)|0.6867660800615947|0.55
60|None|s01|VALENCE|2|0|0.6943520506223043|0.6923586209615071|0.5162037037037037|0.525|(0, 0)||
60|None|s01|VALENCE|2|1|0.693886829747094|0.6921702663103739|0.5208333333333334|0.525|(0, 0)||
60|None|s01|VALENCE|2|2|0.69306155928859|0.6920854568481445|0.4976851851851852|0.525|(0, 0)||
60|None|s01|VALENCE|2|3|0.6887890541995013|0.6916531006495158|0.5162037037037037|0.525|(0, 0)||
60|None|s01|VALENCE|2|4|0.6818364991082085|0.6913112878799439|0.6134259259259259|0.525|(0, 0)||
60|None|s01|VALENCE|2|5|0.6729929667932016|0.6905832330385844|0.6157407407407407|0.525|(0, 0)||
60|None|s01|VALENCE|2|6|0.6548785854268957|0.6881257812182109|0.6412037037037037|0.5333333333333333|(0, 0)||
60|None|s01|VALENCE|2|7|0.6073035288740087|0.6864592711130778|0.6990740740740741|0.5583333333333333|(0, 0)||
