segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
5|mean|s01|VALENCE|0|0|0.6933579842249552|0.6924601495265961|0.5|0.5|(0, 0)||
5|mean|s01|VALENCE|0|1|0.6936387618382772|0.6940227448940277|0.5|0.40625|(0, 0)||
5|mean|s01|VALENCE|0|2|0.6938873529434204|0.6936514675617218|0.3958333333333333|0.40625|(0, 0)||
5|mean|s01|VALENCE|0|3|0.6927893161773682|0.6926608085632324|0.4791666666666667|0.59375|(0, 0)||
5|mean|s01|VALENCE|0|4|0.6929481824239095|0.6937124729156494|0.5|0.5|(0, 0)||
5|mean|s01|VALENCE|0|5|0.6918349464734396|0.6941163241863251|0.5208333333333334|0.5|(0, 0)||
5|mean|s01|VALENCE|0|6|0.6916202306747437|0.6881511807441711|0.5208333333333334|0.59375|(0, 0)||
5|mean|s01|VALENCE|0|7|0.6919889648755392|0.7065616548061371|0.5|0.3125|(0, 0)||
5|mean|s01|VALENCE|0|8|0.6941972573598226|0.7003614902496338|0.4791666666666667|0.40625|(0, 0)||
5|mean|s01|VALENCE|0|9|0.6919587651888529|0.6912286877632141|0.4791666666666667|0.59375|(0, 0)||
5|mean|s01|VALENCE|0|10|0.6924455761909485|0.6921219527721405|0.5625|0.5|(0, 0)||
5|mean|s01|VALENCE|0|11|0.6941653490066528|0.7013449668884277|0.5|0.40625|(0, 0)||
5|mean|s01|VALENCE|0|12|0.6901310880978903|0.6803752481937408|0.5|0.6875|(0, 0)|0.7054258584976196|0.3125
5|mean|s01|VALENCE|1|0|0.694914440313975|0.6792585253715515|0.5|0.6875|(0, 0)|0.6948234736919403|0.5
5|mean|s01|VALENCE|2|0|0.676787793636322|0.6752113401889801|0.6458333333333334|0.59375|(0, 0)||
5|mean|s01|VALENCE|2|1|0.6647271116574606|0.7319343388080597|0.625|0.5|(0, 0)||
5|mean|s01|VALENCE|2|2|0.6941984295845032|0.8996632099151611|0.5833333333333334|0.3125|(0, 0)||
