segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
3|None|s01|VALENCE|0|0|2.1628223657608032|2.2154579162597656|0.46875|0.5|(0, 0)||
3|None|s01|VALENCE|0|1|1.44411700963974|2.0946669578552246|0.5|0.5|(0, 0)||
3|None|s01|VALENCE|0|2|1.8347854018211365|1.1324456930160522|0.59375|0.5|(0, 0)||
3|None|s01|VALENCE|0|3|0.9420016407966614|0.6393566131591797|0.59375|0.6666666865348816|(0, 0)||
3|None|s01|VALENCE|0|4|0.9817508161067963|0.6207370758056641|0.5|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|5|1.024840235710144|0.6575366854667664|0.5625|0.5|(0, 0)||
3|None|s01|VALENCE|0|6|0.9759732186794281|0.6090421676635742|0.5|0.6666666865348816|(0, 0)|0.6090421676635742|0.6666666865348816
3|None|s01|VALENCE|1|0|3.37379252910614|1.761697769165039|0.375|0.5|(0, 0)||
3|None|s01|VALENCE|1|1|0.9651925563812256|3.013423442840576|0.75|0.5|(0, 0)||
3|None|s01|VALENCE|1|2|2.633821725845337|2.0047767162323|0.5|0.5|(0, 0)||
3|None|s01|VALENCE|1|3|1.576036810874939|0.7953383326530457|0.46875|0.5|(0, 0)||
3|None|s01|VALENCE|1|4|1.5153027176856995|1.36943519115448|0.46875|0.5|(0, 0)||
3|None|s01|VALENCE|1|5|2.598167598247528|0.8127764463424683|0.40625|0.5|(0, 0)||
3|None|s01|VALENCE|1|6|0.935483455657959|0.947821855545044|0.53125|0.5|(0, 0)||
3|None|s01|VALENCE|1|7|1.2654045224189758|1.0912792682647705|0.46875|0.5|(0, 0)||
3|None|s01|VALENCE|1|8|1.076875478029251|0.6961226463317871|0.5625|0.5|(0, 0)||
3|None|s01|VALENCE|1|9|0.6167665421962738|0.7806625366210938|0.59375|0.5|(0, 0)||
3|None|s01|VALENCE|1|10|0.900775134563446|0.7261263728141785|0.5625|0.5|(0, 0)||
3|None|s01|VALENCE|1|11|0.532189816236496|0.7001886367797852|0.75|0.4166666865348816|(0, 0)||
3|None|s01|VALENCE|1|12|0.6894305646419525|0.7850381135940552|0.625|0.5|(0, 0)||
3|None|s01|VALENCE|1|13|0.5709763467311859|0.7125107049942017|0.65625|0.5|(0, 0)||
3|None|s01|VALENCE|1|14|0.5615041106939316|0.6834814548492432|0.6875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|1|15|0.4249599426984787|0.6824889183044434|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|1|16|0.5329720377922058|0.6894550323486328|0.84375|0.5|(0, 0)||
3|None|s01|VALENCE|1|17|0.44369877874851227|0.7971596717834473|0.8125|0.5|(0, 0)||
3|None|s01|VALENCE|1|18|0.5647461712360382|0.8078376650810242|0.78125|0.5|(0, 0)||
3|None|s01|VALENCE|1|19|0.3774641305208206|0.6924219131469727|0.84375|0.5|(0, 0)||
3|None|s01|VALENCE|1|20|0.3764134496450424|0.6782916784286499|0.875|0.5833333730697632|(0, 0)|0.6782916784286499|0.5833333730697632
3|None|s01|VALENCE|2|0|1.9599143266677856|5.385545253753662|0.5|0.5|(0, 0)||
