segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
3|None|s01|VALENCE|0|0|0.7093147039413452|0.674940288066864|0.4375|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|0|1|0.683239221572876|0.6743768453598022|0.5|0.6666666865348816|(0, 0)||
3|None|s01|VALENCE|0|2|0.662431538105011|0.675451397895813|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|3|0.6356238722801208|0.675792932510376|0.75|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|4|0.6298838257789612|0.6744012236595154|0.75|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|5|0.619598925113678|0.6727426052093506|0.71875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|6|0.5930173695087433|0.6713492274284363|0.90625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|7|0.5680132508277893|0.6688792109489441|0.875|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|8|0.5558496713638306|0.6672734618186951|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|9|0.5567059516906738|0.6663357615470886|0.8125|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|10|0.5398699045181274|0.6659809350967407|0.8125|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|11|0.5196609199047089|0.6661269664764404|0.875|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|12|0.5315880477428436|0.6658450365066528|0.75|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|13|0.4991818517446518|0.6644856929779053|0.875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|14|0.4840732514858246|0.6626132726669312|0.875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|15|0.44251549243927|0.660565972328186|0.90625|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|16|0.46950967609882355|0.6594885587692261|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|17|0.4468056708574295|0.6582794189453125|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|18|0.42473651468753815|0.6570108532905579|0.875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|19|0.38741762936115265|0.65507972240448|0.9375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|20|0.38695234060287476|0.6529369354248047|0.875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|21|0.36869871616363525|0.6513780951499939|0.875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|0|22|0.33276645839214325|0.6500707864761353|0.9375|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|23|0.3120940178632736|0.6489401459693909|0.90625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|0|24|0.3204986900091171|0.6487200856208801|0.9375|0.5833333730697632|(0, 1)|0.6487200856208801|0.5833333730697632
3|None|s01|VALENCE|1|0|0.6917813122272491|0.6813122034072876|0.46875|0.5833333730697632|(0, 1)|0.6813122034072876|0.5833333730697632
3|None|s01|VALENCE|2|0|0.6880970597267151|0.6925687193870544|0.5625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|2|1|0.6657290458679199|0.6903125643730164|0.59375|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|2|2|0.6452499032020569|0.6884962916374207|0.8125|0.5|(0, 1)||
3|None|s01|VALENCE|2|3|0.630432665348053|0.6866186857223511|0.84375|0.5|(0, 1)||
3|None|s01|VALENCE|2|4|0.6140881180763245|0.6848354339599609|0.78125|0.5|(0, 1)||
3|None|s01|VALENCE|2|5|0.6126006841659546|0.6830150485038757|0.6875|0.5|(0, 1)||
3|None|s01|VALENCE|2|6|0.5639587044715881|0.6811200380325317|0.84375|0.5|(0, 1)||
3|None|s01|VALENCE|2|7|0.5722124874591827|0.679383397102356|0.84375|0.5|(0, 1)||
3|None|s01|VALENCE|2|8|0.5416976511478424|0.6781303286552429|0.90625|0.5|(0, 1)||
3|None|s01|VALENCE|2|9|0.539125382900238|0.676701009273529|0.90625|0.5|(0, 1)||
3|None|s01|VALENCE|2|10|0.5482224225997925|0.6754154562950134|0.78125|0.5|(0, 1)||
3|None|s01|VALENCE|2|11|0.5355638712644577|0.6744412183761597|0.84375|0.5|(0, 1)||
3|None|s01|VALENCE|2|12|0.5166576951742172|0.6736993193626404|0.84375|0.5|(0, 1)||
3|None|s01|VALENCE|2|13|0.463118240237236|0.6726670265197754|0.875|0.5|(0, 1)||
3|None|s01|VALENCE|2|14|0.48561806976795197|0.6719069480895996|0.875|0.5|(0, 1)||
3|None|s01|VALENCE|2|15|0.4597633332014084|0.6718661189079285|0.90625|0.5|(0, 1)||
3|None|s01|VALENCE|2|16|0.42914295196533203|0.6719081401824951|0.9375|0.5|(0, 1)||
3|None|s01|VALENCE|2|17|0.4536159485578537|0.6715506315231323|0.90625|0.5|(0, 1)||
3|None|s01|VALENCE|2|18|0.41612955927848816|0.6712557673454285|0.90625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|2|19|0.4010835587978363|0.6711305975914001|0.90625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|2|20|0.41133829951286316|0.6715599894523621|0.9375|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|21|0.388678640127182|0.6723098754882812|0.90625|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|22|0.40264666080474854|0.6725358366966248|0.875|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|23|0.34888239204883575|0.6721582412719727|0.90625|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|24|0.3349415212869644|0.6715143918991089|0.96875|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|25|0.29996339976787567|0.6710444688796997|0.96875|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|2|26|0.3151858299970627|0.6708221435546875|0.96875|0.6666666865348816|(0, 1)|0.6708221435546875|0.6666666865348816
3|None|s01|VALENCE|3|0|0.7042407393455505|0.680224597454071|0.53125|0.6666666865348816|(0, 1)||
3|None|s01|VALENCE|3|1|0.6744260489940643|0.6796109080314636|0.65625|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|3|2|0.6554817855358124|0.6788331866264343|0.75|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|3|3|0.6432528495788574|0.6781198382377625|0.8125|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|3|4|0.6266736388206482|0.6776689291000366|0.78125|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|3|5|0.6056861877441406|0.6772939562797546|0.875|0.5|(0, 1)||
3|None|s01|VALENCE|3|6|0.5953196883201599|0.6770753860473633|0.875|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|3|7|0.5712283551692963|0.6766853332519531|0.96875|0.5833333730697632|(0, 1)|0.6766853332519531|0.5833333730697632
3|None|s01|VALENCE|4|0|0.6852962672710419|0.6965238451957703|0.5|0.4166666865348816|(0, 1)|0.6965238451957703|0.4166666865348816
3|None|s01|VALENCE|5|0|0.6969296336174011|0.6948220133781433|0.375|0.5833333730697632|(0, 1)||
3|None|s01|VALENCE|5|1|0.6746510863304138|0.6933919787406921|0.59375|0.5|(0, 1)||
3|None|s01|VALENCE|5|2|0.6590566635131836|0.6925551295280457|0.6875|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|5|3|0.6257414817810059|0.690575122833252|0.84375|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|5|4|0.6214268803596497|0.6901639699935913|0.90625|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|5|5|0.6054179072380066|0.6901690363883972|0.8125|0.5833333730697632|(0, 0)||
3|None|s01|VALENCE|5|6|0.5997877418994904|0.6900323629379272|0.84375|0.5|(0, 0)|0.6900323629379272|0.5
3|None|s01|VALENCE|6|0|0.7053447961807251|0.6916704177856445|0.4375|0.3333333432674408|(0, 0)||
3|None|s01|VALENCE|6|1|0.677192211151123|0.6911309957504272|0.6875|0.4166666865348816|(0, 0)|0.6911309957504272|0.4166666865348816
3|None|s01|VALENCE|7|0|0.7163341641426086|0.6799961924552917|0.34375|0.5|(0, 0)||
3|None|s01|VALENCE|7|1|0.6855163276195526|0.6677167415618896|0.59375|0.6666666865348816|(0, 0)||
3|None|s01|VALENCE|7|2|0.6703230440616608|0.656278133392334|0.625|0.75|(0, 0)||
3|None|s01|VALENCE|7|3|0.6464713215827942|0.6461588144302368|0.75|0.8333333730697632|(0, 0)||
3|None|s01|VALENCE|7|4|0.6193751394748688|0.6358924508094788|0.8125|0.8333333730697632|(0, 0)||
3|None|s01|VALENCE|7|5|0.6166234612464905|0.6259229183197021|0.71875|0.75|(0, 0)||
3|None|s01|VALENCE|7|6|0.5875535011291504|0.6165196895599365|0.84375|0.75|(0, 0)||
3|None|s01|VALENCE|7|7|0.5859100818634033|0.6071102023124695|0.75|0.75|(0, 1)||
3|None|s01|VALENCE|7|8|0.5711588561534882|0.5982162952423096|0.75|0.75|(0, 1)||
3|None|s01|VALENCE|7|9|0.5369163155555725|0.5894104242324829|0.8125|0.75|(0, 1)||
3|None|s01|VALENCE|7|10|0.5439379811286926|0.5808047652244568|0.8125|0.75|(0, 0)||
3|None|s01|VALENCE|7|11|0.5423602163791656|0.5724714994430542|0.78125|0.8333333730697632|(0, 1)||
