segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
1|None|s01|VALENCE|0|0|0.6931326985359192|0.6936408281326294|0.5|0.5|(0, 0)|0.6936408281326294|0.5
1|None|s01|VALENCE|1|0|0.6930949687957764|0.6934133172035217|0.5|0.5|(0, 0)|0.6934133172035217|0.5
1|None|s01|VALENCE|2|0|0.6913217902183533|0.6963669061660767|0.625|0.5|(0, 0)|0.6963669657707214|0.5
1|None|s01|VALENCE|3|0|0.6936140060424805|0.6934127807617188|0.5|0.5|(0, 0)|0.6934127807617188|0.5
1|None|s01|VALENCE|4|0|0.6936022043228149|0.6954501867294312|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|1|0.6929324865341187|0.6969906091690063|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|2|0.6928163766860962|0.697347104549408|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|3|0.6924839019775391|0.6967929005622864|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|4|0.6921675205230713|0.6959301829338074|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|5|0.6919049620628357|0.6950765252113342|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|6|0.6914822459220886|0.6944076418876648|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|7|0.6908958554267883|0.6939604878425598|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|8|0.6908442974090576|0.6937018632888794|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|9|0.6903291940689087|0.6935818195343018|0.5|0.5|(0, 0)||
1|None|s01|VALENCE|4|10|0.6899420022964478|0.6935782432556152|0.5|0.5|(0, 0)|0.6935782432556152|0.5
1|None|s01|VALENCE|5|0|0.6852445602416992|0.7056299448013306|0.625|0.5|(0, 0)|0.7056299448013306|0.5
1|None|s01|VALENCE|6|0|0.6909822821617126|0.7008411288261414|0.625|0.5|(0, 0)|0.7008411288261414|0.5
1|None|s01|VALENCE|7|0|0.6987612247467041|0.6832904815673828|0.375|0.75|(0, 0)||
1|None|s01|VALENCE|7|1|0.690646767616272|0.6564669013023376|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|2|0.6834742426872253|0.637846827507019|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|3|0.6772781014442444|0.6231725215911865|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|4|0.671933114528656|0.61082923412323|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|5|0.6674294471740723|0.6000733375549316|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|6|0.6637153625488281|0.5905377864837646|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|7|0.6605619788169861|0.5820598006248474|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|8|0.6582372188568115|0.5745938420295715|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|9|0.6569904088973999|0.568184494972229|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|10|0.6566906571388245|0.5629573464393616|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|11|0.6568894386291504|0.5590319633483887|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|12|0.6574761271476746|0.5564355850219727|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|13|0.6579569578170776|0.5550731420516968|0.625|0.75|(0, 0)||
1|None|s01|VALENCE|7|14|0.6588684320449829|0.554815411567688|0.625|0.75|(0, 0)|0.554815411567688|0.75
1|None|s01|VALENCE|8|0|0.6899072527885437|0.6966121792793274|0.625|0.5|(0, 0)|0.6966121792793274|0.5
1|None|s01|VALENCE|9|0|0.6907654404640198|0.6989485621452332|0.625|0.5|(0, 0)|0.6989485621452332|0.5
1|None|s02|VALENCE|0|0|0.6961949467658997|0.6993346214294434|0.25|0.5|(0, 0)|0.6993346214294434|0.5
1|None|s02|VALENCE|1|0|0.6992996335029602|0.6952857971191406|0.25|0.5|(0, 0)|0.6952857971191406|0.5
1|None|s02|VALENCE|2|0|0.6932308077812195|0.6922640204429626|0.25|0.5|(0, 0)|0.6922639608383179|0.5
1|None|s02|VALENCE|3|0|0.6949139833450317|0.6955792903900146|0.25|0.5|(0, 0)|0.6955792903900146|0.5
1|None|s02|VALENCE|4|0|0.6917629241943359|0.7016768455505371|0.75|0.5|(0, 0)|0.7016768455505371|0.5
1|None|s02|VALENCE|5|0|0.6963427066802979|0.6888306140899658|0.375|0.75|(0, 0)||
1|None|s02|VALENCE|5|1|0.6919317841529846|0.6731842756271362|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|2|0.6882526278495789|0.6632753014564514|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|3|0.6848321557044983|0.6557987332344055|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|4|0.681648313999176|0.6498055458068848|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|5|0.6794478893280029|0.6449263095855713|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|6|0.677417516708374|0.6410335898399353|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|7|0.676032543182373|0.6380253434181213|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|8|0.6743494272232056|0.6358487606048584|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|9|0.6729133725166321|0.6344310641288757|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|10|0.6740703582763672|0.6333587169647217|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|11|0.6734133362770081|0.6324435472488403|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|12|0.6739542484283447|0.6315270662307739|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|13|0.6729481220245361|0.6305578947067261|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|14|0.6721823215484619|0.6296108961105347|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|15|0.6728004813194275|0.6287339925765991|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|16|0.671783447265625|0.6280646324157715|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|17|0.6710747480392456|0.6276257634162903|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|18|0.6703011989593506|0.6273910999298096|0.625|0.75|(0, 0)||
1|None|s02|VALENCE|5|19|0.6683692932128906|0.6273738145828247|0.625|0.75|(0, 0)|0.6273738145828247|0.75
1|None|s02|VALENCE|6|0|0.6916148662567139|0.7032071352005005|0.625|0.5|(0, 0)|0.7032071352005005|0.5
1|None|s02|VALENCE|7|0|0.6941683292388916|0.6964249610900879|0.375|0.5|(0, 0)|0.6964249610900879|0.5
1|None|s02|VALENCE|8|0|0.6929386854171753|0.721493124961853|0.5|0.25|(0, 0)||
1|None|s02|VALENCE|8|1|0.692611813545227|0.7207698225975037|0.5|0.25|(0, 0)||
1|None|s02|VALENCE|8|2|0.6921098232269287|0.7201921939849854|0.5|0.25|(0, 0)||
1|None|s02|VALENCE|8|3|0.6917780637741089|0.7194213271141052|0.5|0.25|(0, 0)||
1|None|s02|VALENCE|8|4|0.691448450088501|0.718612790107727|0.5|0.25|(0, 0)||
1|None|s02|VALENCE|8|5|0.6907198429107666|0.7182117104530334|0.5|0.25|(0, 0)|0.7182116508483887|0.25
1|None|s02|VALENCE|9|0|0.6923116445541382|0.6861157417297363|0.625|0.5|(0, 0)||
1|None|s02|VALENCE|9|1|0.6885029077529907|0.6845220327377319|0.625|0.5|(0, 0)||
1|None|s02|VALENCE|9|2|0.6851475238800049|0.6836202144622803|0.625|0.5|(0, 0)||
1|None|s02|VALENCE|9|3|0.6820561289787292|0.6831622123718262|0.625|0.5|(0, 0)||
1|None|s02|VALENCE|9|4|0.6795108318328857|0.6830573081970215|0.625|0.5|(0, 0)|0.6830573081970215|0.5
1|None|s03|VALENCE|0|0|0.6924676895141602|0.6938211917877197|0.625|0.5|(0, 0)|0.6938211917877197|0.5
1|None|s03|VALENCE|1|0|0.6942713260650635|0.6948627233505249|0.375|0.5|(0, 0)|0.6948627233505249|0.5
1|None|s03|VALENCE|2|0|0.6927410364151001|0.6950047016143799|0.625|0.5|(0, 0)|0.6950047016143799|0.5
1|None|s03|VALENCE|3|0|0.6934897303581238|0.6763635873794556|0.5|0.75|(0, 0)||
1|None|s03|VALENCE|3|1|0.6926552057266235|0.6614454984664917|0.5|0.75|(0, 0)||
1|None|s03|VALENCE|3|2|0.6922874450683594|0.6565479040145874|0.5|0.75|(0, 0)|0.6565479040145874|0.75
1|None|s03|VALENCE|4|0|0.6984411478042603|0.6940287351608276|0.375|0.5|(0, 0)|0.6940287351608276|0.5
1|None|s03|VALENCE|5|0|0.6928912401199341|0.6950854063034058|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|1|0.6922861337661743|0.6955961585044861|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|2|0.6919751167297363|0.6958653926849365|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|3|0.6917893290519714|0.6957582235336304|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|4|0.6916261911392212|0.6954456567764282|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|5|0.6913533210754395|0.6950768828392029|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|6|0.6912602186203003|0.6947489976882935|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|7|0.6906904578208923|0.6945136189460754|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|8|0.6905225515365601|0.6943715810775757|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|5|9|0.6902390122413635|0.6943137645721436|0.5|0.5|(0, 0)|0.6943137645721436|0.5
1|None|s03|VALENCE|6|0|0.69292813539505|0.6938195824623108|0.5|0.5|(0, 0)|0.6938195824623108|0.5
1|None|s03|VALENCE|7|0|0.6934196949005127|0.6943768858909607|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|1|0.6925714015960693|0.6945743560791016|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|2|0.6926970481872559|0.6939491033554077|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|3|0.6923997402191162|0.6929911375045776|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|4|0.6922101974487305|0.6921477913856506|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|5|0.691809356212616|0.6915364265441895|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|6|0.6918991208076477|0.6911226511001587|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|7|0.6915134191513062|0.6908263564109802|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|8|0.691393256187439|0.6905635595321655|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|9|0.6908968687057495|0.6902981996536255|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|10|0.6908304691314697|0.690030574798584|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|11|0.690493106842041|0.6897585988044739|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|12|0.6901079416275024|0.6894896626472473|0.5|0.5|(0, 0)||
1|None|s03|VALENCE|7|13|0.6899338960647583|0.6892073154449463|0.5|0.5|(0, 0)||
