segment_number|len_reduction|par|stim_name|fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
60|None|all|VALENCE|0|0|0.6812971985588471|0.6770200153191884|0.5655381944444444|0.5662760416666667|(1, 30)|0.6770200165609519|0.5662760416666667
60|None|all|VALENCE|1|0|0.6816913473799273|0.6724990746627252|0.5618489583333334|0.5834635416666667|(1, 3)||
60|None|all|VALENCE|1|1|0.658137236342386|0.6697375220557054|0.6027199074074074|0.592578125|(0, 49)||
60|None|all|VALENCE|1|2|0.6314731414809271|0.6673541940748692|0.6378761574074074|0.5984375|(1, 12)|0.6673541924605767|0.5984375
60|None|all|VALENCE|2|0|0.6812937330040667|0.6738709889352321|0.5640190972222222|0.5848958333333333|(1, 16)|0.6738709895561139|0.5848958333333333
60|None|all|VALENCE|3|0|0.6822427260103049|0.6750514972954988|0.5645254629629629|0.577734375|(1, 13)||
60|None|all|VALENCE|3|1|0.6584547449041296|0.6706411979471644|0.6077112268518519|0.59375|(0, 53)||
60|None|all|VALENCE|3|2|0.6329371631145477|0.6673513155430555|0.6365740740740741|0.6002604166666666|(1, 7)|0.6673513143633802|0.6002604166666666
60|None|all|VALENCE|4|0|0.6829827062233731|0.6756462381531795|0.5661892361111112|0.5736979166666667|(1, 12)||
60|None|all|VALENCE|4|1|0.658601210521603|0.6733863960330685|0.6083622685185185|0.5869791666666667|(1, 14)|0.6733863953500986|0.5869791666666667
60|None|all|VALENCE|5|0|0.68186432533656|0.6781693492705624|0.5666232638888888|0.5731770833333333|(1, 11)||
60|None|all|VALENCE|5|1|0.6578318296276309|0.6752579945450028|0.6103877314814815|0.5859375|(1, 16)|0.6752579952900608|0.5859375
60|None|all|VALENCE|6|0|0.6814874538944827|0.6739056999484698|0.5657552083333334|0.57578125|(0, 50)||
60|None|all|VALENCE|6|1|0.6569737654041361|0.6704846558471521|0.6098813657407407|0.5899739583333333|(1, 9)||
60|None|all|VALENCE|6|2|0.6290654166153183|0.6658027793591221|0.6417824074074074|0.607421875|(0, 55)|0.6658027771860361|0.607421875
60|None|all|VALENCE|7|0|0.6824696799395261|0.6761191791544358|0.5633680555555556|0.5875|(1, 3)||
60|None|all|VALENCE|7|1|0.6586119340456746|0.6719037180145582|0.6051070601851852|0.5890625|(0, 55)||
60|None|all|VALENCE|7|2|0.6312590600853717|0.6750167539343238|0.6412037037037037|0.599609375|(0, 51)||
60|None|all|VALENCE|7|3|0.5997977331970576|0.667634313988189|0.6749855324074074|0.602734375|(1, 5)|0.6676343128085136|0.602734375
60|None|all|VALENCE|8|0|0.6811143526876414|0.6768858600407839|0.5661892361111112|0.5787760416666666|(0, 49)||
60|None|all|VALENCE|8|1|0.6571206478402019|0.6722240862747033|0.6037326388888888|0.5873697916666667|(1, 2)|0.6722240875785549|0.5873697916666667
60|None|all|VALENCE|9|0|0.6817063582992112|0.6739879230658213|0.5612702546296297|0.5837239583333333|(1, 9)||
60|None|all|VALENCE|9|1|0.656580844928545|0.6754479246214032|0.6116898148148148|0.5799479166666667|(1, 14)||
60|None|all|VALENCE|9|2|0.6308782578756412|0.6702970368787646|0.6388165509259259|0.5953125|(1, 10)|0.6702970354507367|0.5953125
60|None|all|AROUSAL|0|0|0.6496626006922236|0.6424516313398878|0.6168981481481481|0.627734375|(1, 28)|0.64245162922889|0.627734375
60|None|all|AROUSAL|1|0|0.65088993428206|0.6400604192788403|0.6150896990740741|0.633984375|(1, 12)||
60|None|all|AROUSAL|1|1|0.6230875198142948|0.6386780605961879|0.650390625|0.6421875|(1, 10)|0.6386780623967449|0.6421875
60|None|all|AROUSAL|2|0|0.6502005639658482|0.6402580413346489|0.6140769675925926|0.6328125|(1, 4)||
60|None|all|AROUSAL|2|1|0.6209238288855111|0.637366397306323|0.6519820601851852|0.64375|(0, 57)|0.6373663976788521|0.64375
60|None|all|AROUSAL|3|0|0.6515603640841113|0.6408435051018994|0.6136429398148148|0.6334635416666666|(1, 10)||
60|None|all|AROUSAL|3|1|0.6222580126659186|0.6382653295372923|0.6521267361111112|0.6359375|(1, 10)|0.6382653286059697|0.6359375
60|None|all|AROUSAL|4|0|0.6518241916610686|0.6394063639144103|0.6153067129629629|0.631640625|(1, 10)|0.6394063615550597|0.631640625
60|None|all|AROUSAL|5|0|0.6517289425418885|0.6390743446225922|0.6077835648148148|0.6333333333333333|(1, 8)||
60|None|all|AROUSAL|5|1|0.6232251621851767|0.6366423595696687|0.6495949074074074|0.6315104166666666|(1, 9)|0.6366423585762581|0.6315104166666666
60|None|all|AROUSAL|6|0|0.6524239537064676|0.6396920260041952|0.6091579861111112|0.634765625|(1, 8)|0.6396920232102274|0.634765625
60|None|all|AROUSAL|7|0|0.6506730667832825|0.6395900428916017|0.6155960648148148|0.63828125|(1, 9)||
60|None|all|AROUSAL|7|1|0.6227207144515382|0.6349091342339913|0.6514033564814815|0.6419270833333334|(1, 9)|0.6349091311295827|0.6419270833333334
60|None|all|AROUSAL|8|0|0.6544337012908525|0.633188838760058|0.6100260416666666|0.6407552083333333|(1, 1)||
60|None|all|AROUSAL|8|1|0.6229348571419164|0.6323883782451352|0.6511140046296297|0.6471354166666666|(1, 8)||
60|None|all|AROUSAL|8|2|0.6009348930653047|0.6322304970274369|0.6764322916666666|0.6415364583333333|(1, 8)|0.6322304970895251|0.6415364583333333
60|None|all|AROUSAL|9|0|0.6519115690348877|0.6417812675858537|0.6127025462962963|0.6352864583333333|(1, 7)||
60|None|all|AROUSAL|9|1|0.620400162068782|0.6348594221596916|0.6555266203703703|0.6354166666666666|(1, 10)|0.6348594243948659|0.6354166666666666
