segment_number|len_reduction|par|stim_name|outer_fold|inner_fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
5|None|all|VALENCE|0|0|0|0.6931469366975027|0.6918969482183457|0.5082762559799299|0.5578125|(0, 4)||
5|None|all|VALENCE|0|0|1|0.6880202179085718|0.6908372730016709|0.5710616438356164|0.5546875|(0, 4)||
5|None|all|VALENCE|0|0|2|0.6811328636456843|0.6906464010477066|0.5684931506849316|0.5625|(0, 6)||
5|None|all|VALENCE|0|0|3|0.6712289134117022|0.6915977537631989|0.5847602739726028|0.565625|(0, 7)||
5|None|all|VALENCE|0|0|4|0.6537100950332537|0.689811858534813|0.6055936074420197|0.559375|(0, 7)||
5|None|all|VALENCE|0|0|5|0.6438396185228269|0.6906940802931786|0.6158675800447595|0.559375|(0, 11)||
5|None|all|VALENCE|0|0|6|0.631263740258674|0.6898837804794311|0.6529680368018477|0.5546875|(0, 19)||
5|None|all|VALENCE|0|0|7|0.6139602526409985|0.6894659027457237|0.6746575342465754|0.55625|(0, 21)||
5|None|all|VALENCE|0|0|8|0.5958561223663695|0.6882629469037056|0.675513698630137|0.5609375|(0, 11)||
5|None|all|VALENCE|0|0|9|0.5731472756764661|0.6885095193982125|0.6926369863013698|0.5421875|(0, 4)||
5|None|all|VALENCE|0|0|10|0.5539172540788782|0.6894622549414635|0.7214611874867792|0.55625|(0, 4)||
5|None|all|VALENCE|0|0|11|0.512691447383737|0.689067617058754|0.738013698630137|0.553125|(0, 4)||
5|None|all|VALENCE|0|0|12|0.4900096838604914|0.6866786152124404|0.7514269409114367|0.5625|(0, 5)||
5|None|all|VALENCE|0|0|13|0.46062060272040434|0.6917697191238403|0.7825342465753424|0.546875|(0, 8)||
5|None|all|VALENCE|0|0|14|0.435823214584834|0.6893364652991295|0.7976598176237655|0.546875|(0, 14)||
5|None|all|VALENCE|0|0|15|0.37182605184920847|0.6873877868056297|0.8330479452054794|0.559375|(0, 19)||
5|None|all|VALENCE|0|0|16|0.35250857002931096|0.6913504958152771|0.8356164383561644|0.53125|(0, 19)||
5|None|all|VALENCE|0|0|17|0.33051055577928073|0.6910271212458611|0.8518835616438356|0.5515625|(0, 19)||
5|None|all|VALENCE|0|0|18|0.29123105190388143|0.6865662932395935|0.8704337902265052|0.5578125|(0, 21)|0.6865662887692452|0.5578125
5|None|all|VALENCE|1|0|0|0.6940716162119827|0.6923707813024521|0.515125571048423|0.5390625|(0, 20)||
5|None|all|VALENCE|1|0|1|0.6897891629232119|0.6914529502391815|0.5396689499077731|0.546875|(0, 22)||
5|None|all|VALENCE|1|0|2|0.6844124998131843|0.6916909545660019|0.5642123287671232|0.540625|(0, 21)||
5|None|all|VALENCE|1|0|3|0.6799134563093316|0.6909516274929046|0.5610730594968143|0.546875|(0, 20)||
5|None|all|VALENCE|1|0|4|0.6702538867519326|0.6917552903294564|0.5870433792676011|0.5328125|(0, 20)||
5|None|all|VALENCE|1|0|5|0.6615395790910068|0.6901007339358329|0.6058789957059573|0.546875|(0, 21)||
5|None|all|VALENCE|1|0|6|0.6452927328135869|0.6906322047114373|0.6364155252502389|0.5359375|(0, 22)||
5|None|all|VALENCE|1|0|7|0.6350316952352655|0.6907490521669388|0.6258561643835616|0.540625|(0, 20)||
5|None|all|VALENCE|1|0|8|0.6144069796555662|0.6910688251256942|0.6523972602739726|0.5421875|(0, 21)||
5|None|all|VALENCE|1|0|9|0.5834312957443603|0.6902353212237358|0.6812214614593819|0.5390625|(0, 21)||
5|None|all|VALENCE|1|0|10|0.5689295750774749|0.6905733585357666|0.7040525115516088|0.5421875|(0, 21)||
5|None|all|VALENCE|1|0|11|0.536655550133692|0.6895948216319084|0.7060502285826696|0.5375|(0, 20)|0.6895948201417923|0.5375
5|None|all|VALENCE|2|0|0|0.692761870279704|0.6928738489747047|0.5259703197707869|0.5328125|(0, 21)||
5|None|all|VALENCE|2|0|1|0.6911133478765619|0.6922378942370415|0.5382420094045874|0.54375|(0, 21)||
5|None|all|VALENCE|2|0|2|0.6854705034869991|0.6918548211455345|0.5462328767123288|0.5484375|(0, 21)||
5|None|all|VALENCE|2|0|3|0.6742347748312232|0.6907803267240524|0.574486301369863|0.54375|(0, 19)||
5|None|all|VALENCE|2|0|4|0.6614487734559464|0.6898131489753723|0.604166666938834|0.5453125|(0, 16)||
5|None|all|VALENCE|2|0|5|0.6359651170364798|0.6895488008856774|0.6258561643835616|0.546875|(0, 4)||
5|None|all|VALENCE|2|0|6|0.6212676939082472|0.687773472070694|0.6429794520547946|0.5546875|(0, 4)||
